name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Serratia liquefaciens	614	S	456	33	489	0.00000
Serratia odorifera	618	S	368	7	375	0.00000
Serratia quinivorans	137545	S	343	6	349	0.00000
Serratia surfactantfaciens	2741499	S	243	4	247	0.00000
Serratia fonticola	47917	S	171	4	175	0.00000
Serratia entomophila	42906	S	31	0	31	0.00000
Serratia proteamaculans	28151	S	23	0	23	0.00000
Yersinia pestis	632	S	32822	757662	790484	0.00738
Yersinia pseudotuberculosis	633	S	4740	1922	6662	0.00006
Yersinia similis	367190	S	18	0	18	0.00000
Yersinia enterocolitica	630	S	16502	26702	43204	0.00040
Yersinia entomophaga	935293	S	2180	36	2216	0.00002
Yersinia aleksiciae	263819	S	1362	28	1390	0.00001
Yersinia rochesterensis	1604335	S	1302	54	1356	0.00001
Yersinia intermedia	631	S	646	27	673	0.00001
Yersinia ruckeri	29486	S	479	9	488	0.00000
Yersinia mollaretii	33060	S	378	5	383	0.00000
Yersinia aldovae	29483	S	313	5	318	0.00000
Yersinia frederiksenii	29484	S	270	9	279	0.00000
Yersinia hibernica	2339259	S	202	4	206	0.00000
Yersinia massiliensis	419257	S	84	3	87	0.00000
Yersinia kristensenii	28152	S	19	0	19	0.00000
Yersinia sp. KBS0713	1179669	S	16	1	17	0.00000
Chimaeribacter arupi	2060066	S	6392	203	6595	0.00006
Candidatus Fukatsuia symbiotica	1878942	S	334	4915	5249	0.00005
Rahnella sikkimica	1805933	S	102	29	131	0.00000
Rahnella victoriana	1510570	S	81	75	156	0.00000
Rahnella bonaserana	2816248	S	76	61	137	0.00000
Rahnella aceris	2703885	S	29	32	61	0.00000
Chania multitudinisentens	1639108	S	275	4	279	0.00000
Rouxiella badensis	1646377	S	89	31	120	0.00000
Rouxiella chamberiensis	1513468	S	80	21	101	0.00000
Gibbsiella quercinecans	929813	S	95	1	96	0.00000
Nissabacter sp. SGAir0207	2126321	S	61	0	61	0.00000
Ewingella americana	41202	S	20	0	20	0.00000
Buchnera aphidicola	9	S	66711	453	67164	0.00063
Pantoea sp. At-9b	592316	S	10261	399	10660	0.00010
Pantoea sp. X85	3037258	S	3769	448	4217	0.00004
Pantoea sp. Z09	2886821	S	229	16	245	0.00000
Pantoea sp. CCBC3-3-1	2490851	S	41	7	48	0.00000
Pantoea sp. SS70	3024247	S	41	4	45	0.00000
Pantoea sp. SM3640	2787629	S	29	89	118	0.00000
Pantoea sp. SO10	2575375	S	28	2	30	0.00000
Pantoea sp. BRR-3P	3141541	S	18	0	18	0.00000
Pantoea sp. Lij88	3028622	S	16	1	17	0.00000
Pantoea stewartii	66269	S	7011	14221	21232	0.00020
Pantoea agglomerans	549	S	4223	708	4931	0.00005
Pantoea ananatis	553	S	2068	1274	3342	0.00003
Pantoea dispersa	59814	S	1671	80	1751	0.00002
Candidatus Pantoea carbekii	1235990	S	1581	14	1595	0.00001
Pantoea vagans	470934	S	1482	611	2093	0.00002
Pantoea anthophila	470931	S	586	33	619	0.00001
Pantoea piersonii	2364647	S	453	28	481	0.00000
Pantoea deleyi	470932	S	340	20	360	0.00000
Pantoea eucalypti	470933	S	280	546	826	0.00001
Pantoea eucrina	472693	S	270	18	288	0.00000
Pantoea soli	3098669	S	207	9	216	0.00000
Pantoea rwandensis	1076550	S	118	6	124	0.00000
Pantoea alhagi	1891675	S	26	4	30	0.00000
Pantoea alfalfae	3074822	S	15	7	22	0.00000
Pantoea phytobeneficialis	2052056	S	14	0	14	0.00000
Candidatus Erwinia haradaeae	1922217	S	9512	19	9531	0.00009
Erwinia sp. Ejp617	215689	S	4609	715	5324	0.00005
Erwinia sp. E602	2675378	S	225	8	233	0.00000
Erwinia sp. HDF1-3R	3141543	S	46	3	49	0.00000
Erwinia amylovora	552	S	2890	11280	14170	0.00013
Erwinia pyri	3062598	S	1091	69	1160	0.00001
Erwinia tracheiphila	65700	S	1056	40	1096	0.00001
